,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Risk Linked Securities: Indicative Pricing,,,,,,,,,,,,,,,,,,,,,,2019-12-31 00:00:00,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,Security,,Bloomberg,,Size ,Issuance,Scheduled,,,Long-Term,,Near-Term,,,Ratings,,,,Spread,,Price,,Aggregate/
3,,,Issue,ID#,,Ticker,,($MM),Date,Maturity,,Regions/Perils,AP,EL,AP,EL,,S&P,M,F,Coupon,Bid,Offer,Bid,Offer,Occurrence
54,,,Manatee Re II 2018-1 B,562012AB0,,MANARE,,40,2018-04-03 00:00:00,2021-06-07 00:00:00,,"FL, LA, & TX",6.99,4.07,7.79,4.63,,,,,775,753.6201860050376,717.7734230984382,100.28,100.76,Occurrence
55,,,Manatee Re III 2019-1 A,562011AA4,,MANARE,,20,2019-05-30 00:00:00,2022-06-07 00:00:00,,"FL, LA, & TX",2.22,1.15,2.6,1.34,,,,,525,465.15919449133446,443.1489157698153,101.34,101.84,Occurrence
56,,,Manatee Re III 2019-1 B,562011AB2,,MANARE,,20,2019-05-30 00:00:00,2022-06-07 00:00:00,,"FL, LA, & TX",7.56,4.23,8.39,4.8,,,,,950,898.4040178627411,875.2484947790593,101.08,101.58,Occurrence
57,,,Matterhorn Re 2019-1 A,577092AA7,,MATTRE,,250,2019-06-19 00:00:00,2020-12-07 00:00:00,,Northeast US,4.72,3.81,5,4.03,,,,,0,619.8990283802864,552.0065736243372,94.54,95.11,Occurrence
58,,,Pelican Re 2017,705809AA9,,PELICR,,100,2017-04-19 00:00:00,2020-05-05 00:00:00,,LA,0.78,0.66,0.87,0.74,,,,,204,320.99999999999994,203.6220634054496,99.61,100,Occurrence
59,,,Pelican Re 2018,705809AB7,,PELICR,,100,2018-04-27 00:00:00,2021-05-07 00:00:00,,LA,1.12,0.97,1.24,1.08,,,,,225,277,247.39135536268458,99.32,99.71,Occurrence
60,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,
62,APAC,,Akibare Re 2016-1,00973XAA8,,AKIBAR,,200,2016-03-14 00:00:00,2020-04-07 00:00:00,,JP W,1.12,1.04,,,,,,,228,,,0.1,1,Aggregate
63,,,Akibare Re 2018-1 A,00973XAB6,,AKIBAR,,220,2018-03-28 00:00:00,2022-04-07 00:00:00,,"JP, W, FL, FF",0.9,0.73,,,,,,,190,773.5474439525534,673.301775778236,87.93,89.88,Occurrence
64,,,Akibare Re 2018-1 B,00973XAC4,,AKIBAR,,100,2018-03-28 00:00:00,2022-04-07 00:00:00,,"JP, W, FL",1.09,0.99,,,,,,,190,770.0053806854864,667.239892419575,88,90,Occurrence
65,,,Aozora Re 2016-1,037401AC0,,AOZLTD,,220,2016-03-29 00:00:00,2020-04-07 00:00:00,,JP W,1.18,1.04,,,,BB-,,,229,4132.809215141814,3198.926737857793,91,93,Occurrence
66,,,Aozora Re 2017-1,037401AD8,,AOZLTD,,480,2017-03-29 00:00:00,2021-04-07 00:00:00,,JP W,1.73,1.22,,,,,,,200,1542.7534156055997,1252.2991284341033,85,88,Occurrence
67,,,CAR 123 A,XS2082419404,00:00:00,IBRD,00:00:00,75,2019-11-22 00:00:00,2022-12-02 00:00:00,0.0,Philippines EQ,5.3,3,,,,,,,550,546.5342975202328,518.2063203959896,99.83,100.58,Occurrence
68,,,CAR 124 B,XS2082419669,00:00:00,IBRD,00:00:00,150,2019-11-22 00:00:00,2022-12-02 00:00:00,0.0,Philipinnes W,5.3,3,,,,,,,565,581.8123823919268,553.4621424927943,99.29,100.03,Occurrence
69,,,Kizuna Re II 2018-1 A,49835KAC7,,KIZUNA,,150,2018-03-28 00:00:00,2023-04-11 00:00:00,,JP Q,0.3,0.1,,,,,,,187.5,226.39225862755814,215.39225862755814,98.81,99.14,Occurrence
70,,,Kizuna Re II 2018-1 B,49835KAD5,,KIZUNA,,50,2018-03-28 00:00:00,2023-04-11 00:00:00,,JP Q,2.65,0.92,,,,,,,250,289.310085336893,272.4984032589692,98.81,99.32,Occurrence
71,,,Nakama Re 2014-2 2,62983QAE3,,NAKAMA,,200,2014-12-19 00:00:00,2020-01-16 00:00:00,,JP Q,0.79,0.7,,,,,,,287.5,417.99999999999994,83.6,99.96,100.06,Aggregate
72,,,Nakama Re 2015-1 1,62983QAF0,,NAKAMA,,100,2015-12-29 00:00:00,2021-01-14 00:00:00,,JP Q,1.32,1.16,,,,,,,287.5,295.44228885266216,262.44228885266216,99.92,100.25,Occurrence
73,,,Nakama Re 2015-1 2,62983QAG8,,NAKAMA,,200,2015-12-29 00:00:00,2021-01-14 00:00:00,,JP Q,0.94,0.86,,,,,,,325,339.0809107972715,299.9199606434181,99.86,100.25,Aggregate
74,,,Nakama Re 2016-1 1,62983QAH6,,NAKAMA,,550,2016-09-29 00:00:00,2021-10-13 00:00:00,,JP Q,0.57,0.49,,,,,,,220,258.0515131539719,238.50632443761504,99.35,99.68,Aggregate
75,,,Nakama Re 2016-1 2,62983QAJ2,,NAKAMA,,150,2016-09-29 00:00:00,2021-10-13 00:00:00,,JP Q,1.88,1.47,,,,,,,325,366.92077151948945,345.0827581632993,99.29,99.66,Aggregate
76,,,Nakama Re 2018-1 1,62983QAK9,,NAKAMA,,500,2018-03-01 00:00:00,2023-04-13 00:00:00,,JP Q,0.56,0.48,,,,,,,200,247.58950616330173,237.44244258435359,98.54,98.85,Aggregate
77,,,Nakama Re 2018-1 2,62983QAL7,,NAKAMA,,200,2018-03-01 00:00:00,2023-04-13 00:00:00,,JP Q,1.79,1.44,,,,,,,300,347.80214827812455,336.2101482781244,98.56,98.91,Aggregate
78,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,Atmos Re DAC A,XS1924991273,,ATMRED,,45,2019-02-06 00:00:00,2022-02-14 00:00:00,,"IT Flood, Snow Pressure and Atmospheric Phenom",1.31,0.45,,,,,,,450,,,0.5,2.5,Aggregate
81,,,Baltic PCC 2019-1,XS1957342592,,BALPCC,,75,2019-02-25 00:00:00,2022-03-07 00:00:00,,UK Terrorism,3.05,2.71,,,,,,,590,593.8907815821808,579.2113167811702,99.92,100.22,Aggregate
82,,,Hexagon Re DAC A,XS1735822774,,HEXREI,,45,2017-12-15 00:00:00,2022-01-19 00:00:00,,EU W,7.57,6.75,,,,,,,800,867.3280457644624,845.9280457644625,98.75,99.14,Aggregate
83,,,Hexagon Re DAC B,XS1735822857,,HEXREI,,45,2017-12-15 00:00:00,2022-01-19 00:00:00,,EU W,6.06,5.52,,,,,,,650,704.8271587702609,683.4271587702609,98.96,99.37,Aggregate
84,,,Hexagon II Re 2019-1,XS2066695433,,HEXAGN,,120,2019-11-05 00:00:00,2024-01-17 00:00:00,,EU All Natural Perils,5.9,3.65,,,,,,,515,503.60946818080134,490.60946818080134,100.4,100.88,Occurrence
85,,,Horse Capital I DAC A,440681AA2,,HORSCP,,85,2016-12-19 00:00:00,2020-06-15 00:00:00,,EU Motor,1.93,1.32,,,,,,,400,335.38686754967006,181.22357343202444,100.28,100.97,Aggregate
86,,,Horse Capital I DAC B,440681AB0,,HORSCP,,85,2016-12-19 00:00:00,2020-06-15 00:00:00,,EU Motor,4.11,2.9,,,,,,,625,612.1200000000001,403.13035574468023,100.05,100.98,Aggregate
87,,,Horse Capital I DAC C,440681AC8,,HORSCP,,85,2016-12-19 00:00:00,2020-06-15 00:00:00,,EU Motor,8.04,5.9,,,,,,,1200,1185.1200000000001,972.4676430769233,100.05,100.97,Aggregate
