,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,Risk Linked Securities: Indicative Pricing,,,,,,,,,,,,,,,,,,,,,,2017-08-31 00:00:00,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,Security,,Bloomberg,,Size ,Issuance,Scheduled,,,Long-Term,,Near-Term,,,Ratings,,,,Spread,,Price,,Aggregate/,,,,,,,,
3,,,Issue,ID#,,Ticker,,($MM),Date,Maturity,,Regions/Perils,AP,EL,AP,EL,,S&P,M,F,Coupon,Bid,Offer,Bid,Offer,Occurrence,,,,,,,,
39,,,Everglades Re II 2017,30014LAB0,,EVERGL,,300,2017-05-09 00:00:00,2020-05-08 00:00:00,,FL,2.49,1.95,2.9,2.28,,,,,500,409.33948742929795,394.67282076263126,102.27,102.64,Aggregate,,,,,,,,
40,,,Integrity Re 2017-1 A,45833UAA9,,INTEGR,,72,2017-05-02 00:00:00,2020-06-10 00:00:00,,FL (2nd Event),2.64,0.73,3.21,0.89,,,,,325,287.88485998768573,274.6848599876857,100.98,101.32,Occurrence,,,,,,,,
41,,,Integrity Re 2017-1 B,45833UAB7,,INTEGR,,3,2017-05-02 00:00:00,2020-06-10 00:00:00,,FL (2nd Event),10.41,9.84,11.92,11.3,,,,,1450,1358.9630705519564,1345.7630705519566,102.06,102.37,Occurrence,,,,,,,,
42,,,Integrity Re 2017-1 C,45833UAC5,,INTEGR,,100,2017-05-02 00:00:00,2020-06-10 00:00:00,,FL,1.64,1.39,1.87,1.58,,,,,400,357.752042065684,341.252042065684,101.1,101.53,Occurrence,,,,,,,,
43,,,Integrity Re 2017-1 D,45833UAD3,,INTEGR,,35,2017-05-02 00:00:00,2020-06-10 00:00:00,,FL,1.74,1.67,1.98,1.89,,,,,425,357.1408429334614,340.6408429334614,101.77,102.2,Occurrence,,,,,,,,
44,,,Kilimanjaro Re 2014-1 A,494074AA5,,KILIREL,,250,2014-04-24 00:00:00,2018-04-30 00:00:00,,Southeast,2.24,1.6,2.55,1.83,,BB-,,,475,357.1819227498122,303.1819227498122,100.75,101.1,Occurrence,,,,,,,,
45,,,Manatee Re,562013AA0,,MANARE,,100,2015-03-27 00:00:00,2017-12-22 00:00:00,,FL,1.64,1.12,1.95,1.31,,,,,530,524.1353547501013,332.1353547501013,100.01,100.58,Occurrence,,,,,,,,
46,,,Manatee Re 2016-1 A,XS1368738065,,MANARE,,75,2016-03-10 00:00:00,2019-03-13 00:00:00,,FL & LA,2.3,1.23,2.67,1.44,,,,,575,590.1902542389628,568.1902542389628,99.78,100.09,Occurrence,,,,,,,,
47,,,Manatee Re 2016-1 C,XS1368738222,,MANARE,,20,2016-03-10 00:00:00,2019-03-13 00:00:00,,FL & LA,14.93,11.24,16.4,12.41,,,,,1726,1661.3328682906024,1639.3328682906022,100.82,101.11,Occurrence,,,,,,,,
48,,,Pelican Re 2015,705870AA1,,PELICR,,100,2015-04-14 00:00:00,2018-04-16 00:00:00,,LA,1.05,0.89,1.16,0.99,,,,,354,284.2884585472603,231.4884585472603,100.42,100.74,Occurrence,,,,,,,,
49,,,Pelican Re 2017,705809AA9,,PELICR,,100,2017-04-19 00:00:00,2020-05-05 00:00:00,,LA,1,0.86,1.12,0.96,,,,,225,212.9928972125802,196.49289721258023,100.31,100.73,Occurrence,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,APAC,,Akibare Re 2016-1,00973XAA8,,AKIBAR,,200,2016-03-14 00:00:00,2020-04-07 00:00:00,,JP W,1.27,1.08,,,,,,,234,155.83635105941318,137.83635105941318,102,102.47,Aggregate,,,,,,,,
53,,,Aozora Re 2016-1,037401AC0,,AOZLTD,,220,2016-03-29 00:00:00,2020-04-07 00:00:00,,JP W,1.07,0.9,,,,BB-,,,220,155.90620640523443,142.70620640523444,101.61,101.94,Occurrence,,,,,,,,
54,,,Aozora Re 2017-1,037401AD8,,AOZLTD,,480,2017-03-29 00:00:00,2021-04-07 00:00:00,,JP W,1.65,1.14,,,,,,,200,156.8774694077474,146.97746940774744,101.47,101.81,Occurrence,,,,,,,,
55,,,Kizuna Re II 2014-1 A,49835KAA1,,KIZUNA,,200,2014-03-14 00:00:00,2018-04-06 00:00:00,,JP Q,0.41,0.21,,,,,,,225,195.44,132.94,100.17,100.54,Occurrence,,,,,,,,
56,,,Kizuna Re II 2014-1 B,49835KAB9,,KIZUNA,,45,2014-03-14 00:00:00,2018-04-06 00:00:00,,JP Q,0.85,0.57,,,,,,,250,210.89000000000001,135.89000000000001,100.23,100.66,Occurrence,,,,,,,,
57,,,Nakama Re 2014-1 1,62983QAB9,,NAKAMA,,150,2014-05-30 00:00:00,2018-04-13 00:00:00,,JP Q,0.85,0.75,,,,,,,225,185,134.6,100.24,100.54,Occurrence,,,,,,,,
